x,y
1,1.000000
101,8.000000
201,23.000000
301,33.000000
401,60.000000
501,74.000000
601,99.000000
701,131.000000
801,189.000000
901,196.000000
1001,231.000000
1101,264.000000
1201,313.000000
1301,502.000000
1401,369.000000
1501,416.000000
1601,488.000000
1701,1156.000000
1801,1039.000000
1901,1046.000000
2001,1042.000000
2101,967.000000
2201,966.000000
2301,949.000000
2401,1039.000000
2501,1131.000000
2601,1210.000000
2701,1317.000000
2801,1479.000000
2901,1521.000000
3001,1553.000000
3101,1654.000000
3201,1816.000000
3301,2152.000000
3401,2505.000000
3501,2461.000000
3601,2815.000000
3701,2901.000000
3801,3073.000000
3901,3914.000000
4001,3418.000000
4101,3910.000000
4201,4395.000000
4301,4775.000000
4401,4811.000000
4501,5459.000000
4601,5270.000000
4701,6233.000000
4801,6057.000000
4901,6403.000000
5001,7194.000000
5101,6908.000000
5201,7937.000000
5301,7644.000000
5401,10349.000000
5501,9271.000000
5601,9124.000000
5701,9048.000000
5801,9311.000000
5901,9991.000000
6001,10586.000000
6101,10990.000000
6201,11131.000000
6301,11900.000000
6401,12145.000000
6501,13157.000000
6601,13624.000000
6701,13899.000000
6801,14247.000000
6901,15320.000000
7001,15581.000000
7101,15673.000000
7201,16637.000000
7301,16154.000000
7401,17992.000000
7501,20499.000000
7601,18267.000000
7701,19551.000000
7801,21502.000000
7901,23150.000000
8001,25683.000000
8101,26508.000000
8201,24924.000000
8301,26966.000000
8401,29177.000000
8501,29115.000000
8601,24088.000000
8701,24059.000000
8801,26862.000000
8901,25551.000000
9001,27438.000000
9101,26960.000000
9201,28801.000000
9301,27083.000000
9401,28400.000000
9501,28609.000000
9601,27913.000000
9701,31696.000000
9801,33867.000000
9901,40080.000000
10001,39070.000000
10101,39882.000000
10201,43036.000000
10301,39135.000000
10401,41113.000000
10501,40947.000000
10601,43619.000000
10701,44191.000000
10801,46971.000000
10901,47891.000000
11001,45902.000000
11101,45438.000000
11201,47756.000000
11301,51482.000000
11401,53241.000000
11501,51404.000000
11601,48336.000000
11701,46029.000000
11801,45400.000000
11901,47822.000000
12001,45815.000000
12101,48909.000000
12201,48786.000000
12301,54950.000000
12401,49577.000000
12501,55575.000000
12601,53126.000000
12701,55166.000000
12801,54024.000000
12901,56586.000000
13001,56281.000000
13101,62812.000000
13201,60028.000000
13301,60908.000000
13401,59477.000000
13501,63392.000000
13601,61414.000000
13701,65632.000000
13801,63495.000000
13901,67098.000000
14001,65047.000000
14101,67210.000000
14201,66562.000000
14301,67986.000000
14401,69783.000000
14501,74687.000000
14601,75125.000000
14701,76773.000000
14801,74413.000000
14901,103459.000000
15001,102261.000000
15101,90334.000000
15201,81647.000000
15301,84461.000000
15401,81261.000000
15501,86160.000000
15601,87359.000000
15701,87799.000000
15801,86302.000000
15901,100027.000000
16001,106070.000000
16101,114851.000000
16201,127957.000000
16301,150682.000000
