x,y
1,81.000000
101,99.000000
201,66.000000
301,462.000000
401,476.000000
501,1228.000000
601,2800.000000
701,3089.000000
801,4301.000000
901,3002.000000
1001,3944.000000
1101,6297.000000
1201,4667.000000
1301,5759.000000
1401,12988.000000
1501,16064.000000
1601,9063.000000
1701,19033.000000
1801,23234.000000
1901,21807.000000
2001,25725.000000
2101,30033.000000
2201,34402.000000
2301,35824.000000
2401,41381.000000
2501,38885.000000
2601,50495.000000
2701,52300.000000
2801,51622.000000
2901,33674.000000
3001,66286.000000
3101,47968.000000
3201,44153.000000
3301,57816.000000
3401,43637.000000
3501,66198.000000
3601,82955.000000
3701,55796.000000
3801,62792.000000
3901,90640.000000
4001,64894.000000
4101,68497.000000
4201,66736.000000
4301,81982.000000
4401,73923.000000
4501,84232.000000
4601,100165.000000
4701,81587.000000
4801,86413.000000
4901,90160.000000
5001,104508.000000
5101,99092.000000
5201,141330.000000
5301,138434.000000
5401,148948.000000
5501,103041.000000
5601,105743.000000
5701,111968.000000
5801,109342.000000
5901,116619.000000
6001,178570.000000
6101,149339.000000
6201,127147.000000
6301,140645.000000
6401,135005.000000
6501,139252.000000
6601,139031.000000
6701,208473.000000
6801,149166.000000
6901,163269.000000
7001,156178.000000
7101,160692.000000
7201,164863.000000
7301,163220.000000
7401,182361.000000
7501,253001.000000
7601,174500.000000
7701,192956.000000
7801,259297.000000
7901,199067.000000
8001,270044.000000
8101,207470.000000
8201,200708.000000
8301,282076.000000
8401,225862.000000
8501,221434.000000
8601,233027.000000
8701,232396.000000
8801,290711.000000
8901,235017.000000
9001,267010.000000
9101,249213.000000
9201,310792.000000
9301,261200.000000
9401,260606.000000
9501,321934.000000
9601,272201.000000
9701,366485.000000
9801,356567.000000
9901,300728.000000
10001,291605.000000
10101,339532.000000
10201,399021.000000
10301,320537.000000
10401,317778.000000
10501,335925.000000
10601,320200.000000
10701,345871.000000
10801,339173.000000
10901,438191.000000
11001,347266.000000
11101,386359.000000
11201,366404.000000
11301,391828.000000
11401,370146.000000
11501,391911.000000
11601,381690.000000
11701,426396.000000
11801,393059.000000
11901,473132.000000
12001,475597.000000
12101,424514.000000
12201,514379.000000
12301,441352.000000
12401,437034.000000
12501,520837.000000
12601,451395.000000
12701,470129.000000
12801,467923.000000
12901,595331.000000
13001,688538.000000
13101,524505.000000
13201,574512.000000
13301,596068.000000
13401,512760.000000
13501,603855.000000
13601,527668.000000
13701,545501.000000
13801,620219.000000
13901,560306.000000
14001,639075.000000
14101,632800.000000
14201,632890.000000
14301,664366.000000
14401,590442.000000
14501,665122.000000
14601,601496.000000
14701,627605.000000
14801,619639.000000
14901,651973.000000
15001,623496.000000
15101,656749.000000
15201,750737.000000
15301,730614.000000
15401,747157.000000
15501,706433.000000
15601,745644.000000
15701,764435.000000
15801,781669.000000
15901,721182.000000
16001,721880.000000
16101,733558.000000
16201,797244.000000
16301,753196.000000
