x,y
1,0.000001
101,0.000003
201,0.000006
301,0.000008
401,0.000010
501,0.000017
601,0.000016
701,0.000016
801,0.000019
901,0.000022
1001,0.000025
1101,0.000026
1201,0.000028
1301,0.000033
1401,0.000034
1501,0.000037
1601,0.000040
1701,0.000041
1801,0.000041
1901,0.000042
2001,0.000052
2101,0.000049
2201,0.000050
2301,0.000052
2401,0.000204
2501,0.000170
2601,0.000087
2701,0.000085
2801,0.000087
2901,0.000089
3001,0.000099
3101,0.000097
3201,0.000099
3301,0.000108
3401,0.000106
3501,0.000111
3601,0.000107
3701,0.000112
3801,0.000114
3901,0.000126
4001,0.000118
4101,0.000123
4201,0.000141
4301,0.000119
4401,0.000124
4501,0.000124
4601,0.000132
4701,0.000139
4801,0.000135
4901,0.000145
5001,0.000143
5101,0.000147
5201,0.000139
5301,0.000133
5401,0.000145
5501,0.000131
5601,0.000127
5701,0.000131
5801,0.000128
5901,0.000131
6001,0.000129
6101,0.000130
6201,0.000141
6301,0.000128
6401,0.000129
6501,0.000142
6601,0.000144
6701,0.000147
6801,0.000148
6901,0.000138
7001,0.000135
7101,0.000153
7201,0.000157
7301,0.000160
7401,0.000184
7501,0.000153
7601,0.000400
7701,0.000195
7801,0.000181
7901,0.000183
8001,0.000202
8101,0.000167
8201,0.000167
8301,0.000171
8401,0.000168
8501,0.000174
8601,0.000174
8701,0.000164
8801,0.000176
8901,0.000183
9001,0.000178
9101,0.000176
9201,0.000180
9301,0.000189
9401,0.000198
9501,0.000199
9601,0.000195
9701,0.000189
9801,0.000212
9901,0.000225
10001,0.000210
10101,0.000205
10201,0.000198
10301,0.000210
10401,0.000226
10501,0.000214
10601,0.000220
10701,0.000224
10801,0.000229
10901,0.000244
11001,0.000253
11101,0.000241
11201,0.000252
11301,0.000257
11401,0.000278
11501,0.000265
11601,0.000282
11701,0.000263
11801,0.000242
11901,0.000253
12001,0.000273
12101,0.000261
12201,0.000408
12301,0.000557
12401,0.000431
12501,0.000408
12601,0.000413
12701,0.000415
12801,0.000379
12901,0.000353
13001,0.000333
13101,0.000323
13201,0.000316
13301,0.000326
13401,0.000303
13501,0.000302
13601,0.000296
13701,0.000308
13801,0.000358
13901,0.000718
14001,0.000433
14101,0.000401
14201,0.000419
14301,0.000550
14401,0.000556
14501,0.000473
14601,0.000494
14701,0.000459
14801,0.000466
14901,0.000688
15001,0.000476
15101,0.000458
15201,0.000482
15301,0.000464
15401,0.000491
15501,0.000455
15601,0.000344
15701,0.000342
15801,0.000352
15901,0.000357
16001,0.000371
16101,0.000374
16201,0.000353
16301,0.000622
