x,y1,y2,y3,y4,y5
1,106,106,106,106,106
2,918,200,209,210,207
3,1449,307,301,302,301
4,1865,403,383,385,387
5,2227,486,494,490,499
6,2541,600,610,598,599
7,2820,689,702,703,725
8,3070,827,797,789,809
9,3302,873,901,892,896
10,3516,1019,998,1000,995
11,3716,1096,1117,1113,1088
12,3904,1215,1216,1227,1193
13,4085,1263,1299,1316,1307
14,4256,1394,1379,1401,1406
15,4420,1480,1494,1494,1542
16,4577,1593,1618,1586,1620
17,4726,1717,1707,1704,1694
18,4869,1795,1789,1798,1780
19,5009,1884,1909,1902,1929
20,5140,2037,2002,2006,2018
21,5268,2156,2109,2100,2094
22,5394,2117,2214,2204,2171
23,5516,2316,2313,2313,2286
24,5634,2375,2421,2412,2402
25,5752,2468,2510,2519,2513
26,5861,2627,2623,2609,2633
27,5967,2717,2730,2731,2768
28,6073,2730,2823,2823,2767
29,6177,2807,2909,2926,2863
30,6278,2957,2975,3023,3007
31,6375,3093,3082,3109,3042
32,6471,3228,3176,3221,3195
33,6564,3218,3282,3312,3312
34,6655,3379,3364,3397,3354
35,6742,3438,3457,3487,3478
36,6827,3613,3570,3585,3561
37,6912,3659,3646,3683,3674
38,6994,3785,3729,3765,3783
39,7075,3873,3815,3876,3846
40,7153,3969,3880,3991,3957
41,7229,4014,4016,4086,4087
42,7304,4159,4118,4186,4096
43,7377,4284,4227,4268,4230
44,7448,4368,4323,4347,4342
45,7516,4440,4440,4438,4422
46,7584,4601,4537,4536,4490
47,7650,4623,4619,4623,4613
48,7716,4723,4715,4718,4747
49,7781,4863,4842,4825,4828
50,7846,4922,4924,4927,5020
51,7911,5054,5010,5024,5068
52,7974,5139,5123,5113,5191
53,8036,5330,5213,5221,5210
54,8098,5398,5327,5316,5268
55,8158,5528,5424,5421,5422
56,8215,5560,5514,5525,5528
57,8272,5644,5644,5620,5649
58,8328,5713,5736,5705,5655
59,8383,5775,5816,5802,5805
60,8438,5871,5916,5888,5886
61,8493,6030,5973,5987,5969
62,8545,6148,6121,6082,6125
63,8595,6244,6192,6201,6233
64,8644,6302,6300,6304,6373
65,8693,6418,6417,6387,6466
66,8741,6548,6501,6499,6536
67,8789,6658,6581,6585,6623
68,8835,6733,6686,6697,6705
69,8881,6813,6793,6796,6795
70,8926,6933,6852,6898,6902
71,8970,6977,6956,7012,6956
72,9014,7160,7049,7118,7031
73,9058,7273,7159,7215,7175
74,9101,7322,7329,7304,7257
75,9141,7405,7389,7399,7367
76,9181,7543,7501,7478,7500
77,9219,7587,7624,7567,7626
78,9257,7660,7707,7680,7649
79,9295,7856,7830,7786,7778
80,9332,7890,7932,7864,7952
81,9368,8037,8022,7959,7993
82,9403,8109,8146,8053,8104
83,9437,8248,8245,8158,8183
84,9471,8317,8327,8268,8293
85,9505,8434,8401,8366,8424
86,9538,8507,8498,8471,8527
87,9571,8646,8655,8574,8588
88,9603,8764,8674,8659,8725
89,9633,8797,8794,8757,8799
90,9662,8943,8891,8861,8856
91,9691,9011,9045,8971,9028
92,9719,9100,9092,9075,9097
93,9745,9200,9211,9190,9246
94,9771,9261,9364,9302,9309
95,9795,9403,9407,9410,9396
96,9819,9503,9508,9503,9512
97,9841,9612,9609,9608,9598
98,9862,9728,9692,9716,9721
99,9882,9807,9811,9809,9792
100,9900,9900,9900,9899,9900
