x,y1,y2,y3,y4,y5
1,411,411,411,411,411
2,2090,839,826,836,836
3,3130,1218,1238,1263,1231
4,3923,1643,1602,1637,1624
5,4545,1990,1957,2019,2018
6,5066,2351,2313,2410,2387
7,5518,2614,2654,2791,2780
8,5912,3009,2993,3177,3150
9,6254,3372,3304,3525,3462
10,6554,3598,3623,3890,3781
11,6824,3849,3927,4230,4106
12,7069,4114,4189,4553,4337
13,7291,4399,4435,4869,4667
14,7490,4696,4657,5165,4929
15,7672,4883,4879,5436,5175
16,7833,5105,5106,5696,5481
17,7978,5250,5300,5929,5622
18,8102,5440,5493,6200,5917
19,8208,5625,5651,6430,6111
20,8303,5810,5802,6643,6264
21,8388,5935,5955,6819,6418
22,8463,6103,6093,7007,6612
23,8528,6267,6272,7160,6811
24,8590,6411,6403,7315,6908
25,8646,6537,6508,7464,7039
26,8698,6715,6619,7563,7200
27,8747,6774,6725,7681,7278
28,8795,6837,6839,7780,7421
29,8839,6873,6926,7886,7484
30,8882,7042,7032,7980,7548
31,8922,7194,7111,8051,7618
32,8961,7169,7229,8124,7766
33,8999,7247,7297,8194,7838
34,9034,7367,7386,8260,7932
35,9067,7445,7440,8319,7955
36,9099,7494,7533,8360,8021
37,9130,7527,7601,8396,8093
38,9157,7645,7664,8429,8157
39,9182,7724,7722,8466,8198
40,9206,7815,7783,8506,8289
41,9230,7817,7842,8543,8321
42,9254,7884,7873,8568,8360
43,9278,8014,7937,8599,8432
44,9301,8085,7986,8629,8435
45,9323,8076,8029,8663,8495
46,9343,8115,8060,8689,8521
47,9363,8184,8123,8716,8569
48,9383,8193,8199,8743,8606
49,9403,8287,8271,8773,8679
50,9422,8329,8313,8804,8697
51,9440,8419,8361,8827,8713
52,9458,8392,8426,8842,8793
53,9476,8506,8494,8875,8818
54,9494,8488,8535,8902,8801
55,9512,8553,8588,8928,8852
56,9529,8588,8621,8956,8867
57,9544,8626,8654,8992,8936
58,9558,8631,8708,9016,8936
59,9572,8641,8738,9048,9006
60,9586,8768,8780,9079,8990
61,9600,8771,8811,9106,9000
62,9614,8835,8877,9125,9067
63,9627,8912,8889,9153,9093
64,9639,8897,8941,9175,9114
65,9651,8979,8969,9194,9152
66,9663,8950,8987,9225,9173
67,9675,8991,9024,9251,9180
68,9687,9018,9037,9274,9213
69,9698,9066,9085,9299,9239
70,9709,9110,9121,9315,9312
71,9720,9172,9142,9338,9291
72,9731,9170,9196,9364,9345
73,9741,9241,9216,9384,9389
74,9751,9246,9266,9405,9373
75,9760,9263,9282,9434,9439
76,9769,9299,9297,9457,9394
77,9778,9360,9318,9472,9438
78,9787,9369,9332,9502,9484
79,9796,9426,9414,9534,9496
80,9804,9395,9425,9546,9524
81,9812,9458,9464,9574,9570
82,9819,9521,9493,9599,9539
83,9826,9562,9518,9620,9605
84,9833,9555,9522,9643,9627
85,9840,9568,9566,9665,9627
86,9847,9610,9599,9691,9655
87,9854,9637,9613,9718,9670
88,9860,9652,9648,9728,9717
89,9866,9696,9678,9749,9720
90,9871,9760,9709,9764,9751
91,9876,9720,9752,9780,9787
92,9881,9783,9771,9806,9808
93,9886,9797,9778,9822,9819
94,9891,9830,9832,9842,9861
95,9896,9850,9849,9861,9871
96,9901,9879,9863,9883,9888
97,9903,9903,9903,9902,9903
98,9903,9903,9903,9902,9903
99,9903,9903,9903,9902,9903
100,9903,9903,9903,9902,9903
